example_id,complex_name,path,generated_chain,context_chain
ame:5ten__1__1.A__1.I,5ten__1__1.A__1.I,structures/ame/5ten__1__1.A__1.I.cif,1.A,1.A
ame:5ten__1__1.C__1.V,5ten__1__1.C__1.V,structures/ame/5ten__1__1.C__1.V.cif,1.C,1.C
ame:5tex__1__1.A__1.C,5tex__1__1.A__1.C,structures/ame/5tex__1__1.A__1.C.cif,1.A,1.A
ame:5tho__1__1.M_1.N__1.HA,5tho__1__1.M_1.N__1.HA,structures/ame/5tho__1__1.M_1.N__1.HA.cif,"1.M,1.N","1.M,1.N"
ame:5tiw__2__1.B__1.K,5tiw__2__1.B__1.K,structures/ame/5tiw__2__1.B__1.K.cif,1.B,1.B
ame:5tix__1__1.A__1.D,5tix__1__1.A__1.D,structures/ame/5tix__1__1.A__1.D.cif,1.A,1.A
ame:5tiy__1__1.A__1.C,5tiy__1__1.A__1.C,structures/ame/5tiy__1__1.A__1.C.cif,1.A,1.A
ame:5tlb__1__1.A__1.B,5tlb__1__1.A__1.B,structures/ame/5tlb__1__1.A__1.B.cif,1.A,1.A
ame:5tlq__1__1.A__1.B,5tlq__1__1.A__1.B,structures/ame/5tlq__1__1.A__1.B.cif,1.A,1.A
ame:5toe__1__1.A__1.B,5toe__1__1.A__1.B,structures/ame/5toe__1__1.A__1.B.cif,1.A,1.A
ame:5trg__1__1.I_1.J__1.DA,5trg__1__1.I_1.J__1.DA,structures/ame/5trg__1__1.I_1.J__1.DA.cif,"1.I,1.J","1.I,1.J"
ame:5trr__1__1.H_1.N__1.IA,5trr__1__1.H_1.N__1.IA,structures/ame/5trr__1__1.H_1.N__1.IA.cif,"1.N,1.H","1.N,1.H"
ame:5trs__1__1.BA_1.V__1.PA,5trs__1__1.BA_1.V__1.PA,structures/ame/5trs__1__1.BA_1.V__1.PA.cif,"1.BA,1.V","1.BA,1.V"
ame:5try__1__1.Y_1.Z__1.MA,5try__1__1.Y_1.Z__1.MA,structures/ame/5try__1__1.Y_1.Z__1.MA.cif,"1.Y,1.Z","1.Y,1.Z"
ame:5ts0__1__1.I_1.J__1.DA,5ts0__1__1.I_1.J__1.DA,structures/ame/5ts0__1__1.I_1.J__1.DA.cif,"1.I,1.J","1.I,1.J"
ame:5tur__1__1.A__1.B,5tur__1__1.A__1.B,structures/ame/5tur__1__1.A__1.B.cif,1.A,1.A
ame:5tus__2__1.B__1.G,5tus__2__1.B__1.G,structures/ame/5tus__2__1.B__1.G.cif,1.B,1.B
ame:5tv7__1__1.A__1.C,5tv7__1__1.A__1.C,structures/ame/5tv7__1__1.A__1.C.cif,1.A,1.A
ame:5tz6__1__1.A__1.C,5tz6__1__1.A__1.C,structures/ame/5tz6__1__1.A__1.C.cif,1.A,1.A
ame:5u1h__1__1.A__1.E,5u1h__1__1.A__1.E,structures/ame/5u1h__1__1.A__1.E.cif,1.A,1.A
ame:5u35__1__1.B__1.J,5u35__1__1.B__1.J,structures/ame/5u35__1__1.B__1.J.cif,1.B,1.B
ame:5u77__1__1.A__1.B,5u77__1__1.A__1.B,structures/ame/5u77__1__1.A__1.B.cif,1.A,1.A
ame:5u9i__1__1.A__1.B,5u9i__1__1.A__1.B,structures/ame/5u9i__1__1.A__1.B.cif,1.A,1.A
ame:5u9j__1__1.A__1.C,5u9j__1__1.A__1.C,structures/ame/5u9j__1__1.A__1.C.cif,1.A,1.A
ame:5u9n__2__1.B__1.E,5u9n__2__1.B__1.E,structures/ame/5u9n__2__1.B__1.E.cif,1.B,1.B
ame:5ufi__1__1.A__1.E,5ufi__1__1.A__1.E,structures/ame/5ufi__1__1.A__1.E.cif,1.A,1.A
ame:5upg__1__1.A__1.C,5upg__1__1.A__1.C,structures/ame/5upg__1__1.A__1.C.cif,1.A,1.A
ame:5uqt__2__1.B__1.E,5uqt__2__1.B__1.E,structures/ame/5uqt__2__1.B__1.E.cif,1.B,1.B
ame:5uro__1__1.A__1.B,5uro__1__1.A__1.B,structures/ame/5uro__1__1.A__1.B.cif,1.A,1.A
ame:5ute__2__1.B__1.E,5ute__2__1.B__1.E,structures/ame/5ute__2__1.B__1.E.cif,1.B,1.B
ame:5utn__1__1.A__1.C,5utn__1__1.A__1.C,structures/ame/5utn__1__1.A__1.C.cif,1.A,1.A
ame:5uuf__1__1.A__1.D,5uuf__1__1.A__1.D,structures/ame/5uuf__1__1.A__1.D.cif,1.A,1.A
ame:5uv3__2__1.B__1.E,5uv3__2__1.B__1.E,structures/ame/5uv3__2__1.B__1.E.cif,1.B,1.B
ame:5uvp__2__1.B__1.E,5uvp__2__1.B__1.E,structures/ame/5uvp__2__1.B__1.E.cif,1.B,1.B
ame:5v0t__1__1.A__1.O,5v0t__1__1.A__1.O,structures/ame/5v0t__1__1.A__1.O.cif,1.A,1.A
ame:5v0u__1__1.A__1.B,5v0u__1__1.A__1.B,structures/ame/5v0u__1__1.A__1.B.cif,1.A,1.A
ame:5v3w__2__1.B__1.D,5v3w__2__1.B__1.D,structures/ame/5v3w__2__1.B__1.D.cif,1.B,1.B
ame:5v3x__2__1.B__1.D,5v3x__2__1.B__1.D,structures/ame/5v3x__2__1.B__1.D.cif,1.B,1.B
ame:5v3y__1__1.A__1.C,5v3y__1__1.A__1.C,structures/ame/5v3y__1__1.A__1.C.cif,1.A,1.A
ame:5v40__1__1.A__1.C,5v40__1__1.A__1.C,structures/ame/5v40__1__1.A__1.C.cif,1.A,1.A
ame:5v41__1__1.A__1.C,5v41__1__1.A__1.C,structures/ame/5v41__1__1.A__1.C.cif,1.A,1.A
ame:5v42__2__1.B__1.D,5v42__2__1.B__1.D,structures/ame/5v42__2__1.B__1.D.cif,1.B,1.B
ame:5v5d__1__1.A__1.C,5v5d__1__1.A__1.C,structures/ame/5v5d__1__1.A__1.C.cif,1.A,1.A
ame:5v5e__1__1.A__1.C,5v5e__1__1.A__1.C,structures/ame/5v5e__1__1.A__1.C.cif,1.A,1.A
ame:5v5y__1__1.A__1.B,5v5y__1__1.A__1.B,structures/ame/5v5y__1__1.A__1.B.cif,1.A,1.A
ame:5v8o__1__1.A__1.D,5v8o__1__1.A__1.D,structures/ame/5v8o__1__1.A__1.D.cif,1.A,1.A
ame:5var__1__1.A__1.B,5var__1__1.A__1.B,structures/ame/5var__1__1.A__1.B.cif,1.A,1.A
ame:5vc4__1__1.A__1.B,5vc4__1__1.A__1.B,structures/ame/5vc4__1__1.A__1.B.cif,1.A,1.A
ame:5vc5__1__1.A__1.B,5vc5__1__1.A__1.B,structures/ame/5vc5__1__1.A__1.B.cif,1.A,1.A
ame:5vc6__1__1.A__1.B,5vc6__1__1.A__1.B,structures/ame/5vc6__1__1.A__1.B.cif,1.A,1.A
ame:5vd2__1__1.A__1.B,5vd2__1__1.A__1.B,structures/ame/5vd2__1__1.A__1.B.cif,1.A,1.A
ame:5vd4__1__1.A__1.B,5vd4__1__1.A__1.B,structures/ame/5vd4__1__1.A__1.B.cif,1.A,1.A
ame:5vd5__1__1.A__1.B,5vd5__1__1.A__1.B,structures/ame/5vd5__1__1.A__1.B.cif,1.A,1.A
ame:5vd7__1__1.A__1.B,5vd7__1__1.A__1.B,structures/ame/5vd7__1__1.A__1.B.cif,1.A,1.A
ame:5vd8__1__1.A__1.B,5vd8__1__1.A__1.B,structures/ame/5vd8__1__1.A__1.B.cif,1.A,1.A
ame:5vd9__1__1.A__1.B,5vd9__1__1.A__1.B,structures/ame/5vd9__1__1.A__1.B.cif,1.A,1.A
ame:5vda__1__1.A__1.B,5vda__1__1.A__1.B,structures/ame/5vda__1__1.A__1.B.cif,1.A,1.A
ame:5vdb__1__1.A__1.H,5vdb__1__1.A__1.H,structures/ame/5vdb__1__1.A__1.H.cif,1.A,1.A
ame:5vhv__2__1.B__1.O,5vhv__2__1.B__1.O,structures/ame/5vhv__2__1.B__1.O.cif,1.B,1.B
ame:5vkg__1__1.A__1.B,5vkg__1__1.A__1.B,structures/ame/5vkg__1__1.A__1.B.cif,1.A,1.A
ame:5vlg__1__1.A__1.I,5vlg__1__1.A__1.I,structures/ame/5vlg__1__1.A__1.I.cif,1.A,1.A
ame:5vlm__1__1.B__1.J,5vlm__1__1.B__1.J,structures/ame/5vlm__1__1.B__1.J.cif,1.B,1.B
ame:5vps__1__1.A__1.B,5vps__1__1.A__1.B,structures/ame/5vps__1__1.A__1.B.cif,1.A,1.A
ame:5vsj__1__1.B__1.E,5vsj__1__1.B__1.E,structures/ame/5vsj__1__1.B__1.E.cif,1.B,1.B
ame:5vt4__1__1.A__1.E,5vt4__1__1.A__1.E,structures/ame/5vt4__1__1.A__1.E.cif,1.A,1.A
ame:5w99__1__1.A__1.B,5w99__1__1.A__1.B,structures/ame/5w99__1__1.A__1.B.cif,1.A,1.A
ame:5wcg__1__1.A__1.E,5wcg__1__1.A__1.E,structures/ame/5wcg__1__1.A__1.E.cif,1.A,1.A
ame:5wdg__1__1.A__1.H,5wdg__1__1.A__1.H,structures/ame/5wdg__1__1.A__1.H.cif,1.A,1.A
ame:5wgc__1__1.B__1.D,5wgc__1__1.B__1.D,structures/ame/5wgc__1__1.B__1.D.cif,1.B,1.B
ame:5wic__2__1.B__1.F,5wic__2__1.B__1.F,structures/ame/5wic__2__1.B__1.F.cif,1.B,1.B
ame:5wii__1__1.A__1.E,5wii__1__1.A__1.E,structures/ame/5wii__1__1.A__1.E.cif,1.A,1.A
ame:5wip__1__1.A__1.E,5wip__1__1.A__1.E,structures/ame/5wip__1__1.A__1.E.cif,1.A,1.A
ame:5wj9__1__1.A_1.D__1.E,5wj9__1__1.A_1.D__1.E,structures/ame/5wj9__1__1.A_1.D__1.E.cif,"1.A,1.D","1.A,1.D"
ame:5wrq__1__1.A__1.C,5wrq__1__1.A__1.C,structures/ame/5wrq__1__1.A__1.C.cif,1.A,1.A
ame:5wry__2__1.B__1.D,5wry__2__1.B__1.D,structures/ame/5wry__2__1.B__1.D.cif,1.B,1.B
ame:5wrz__1__1.A__1.C,5wrz__1__1.A__1.C,structures/ame/5wrz__1__1.A__1.C.cif,1.A,1.A
ame:5ws0__2__1.B__1.D,5ws0__2__1.B__1.D,structures/ame/5ws0__2__1.B__1.D.cif,1.B,1.B
ame:5ws1__1__1.A__1.C,5ws1__1__1.A__1.C,structures/ame/5ws1__1__1.A__1.C.cif,1.A,1.A
ame:5wsy__1__1.A_1.B__1.D,5wsy__1__1.A_1.B__1.D,structures/ame/5wsy__1__1.A_1.B__1.D.cif,"1.B,1.A","1.B,1.A"
ame:5wtc__1__1.A__1.C,5wtc__1__1.A__1.C,structures/ame/5wtc__1__1.A__1.C.cif,1.A,1.A
ame:5x3j__1__1.A__1.C,5x3j__1__1.A__1.C,structures/ame/5x3j__1__1.A__1.C.cif,1.A,1.A
ame:5x3k__1__1.A__1.C,5x3k__1__1.A__1.C,structures/ame/5x3k__1__1.A__1.C.cif,1.A,1.A
ame:5x3r__1__1.A__1.E,5x3r__1__1.A__1.E,structures/ame/5x3r__1__1.A__1.E.cif,1.A,1.A
ame:5x9i__1__1.A__1.C,5x9i__1__1.A__1.C,structures/ame/5x9i__1__1.A__1.C.cif,1.A,1.A
ame:5xa4__2__1.B__1.D,5xa4__2__1.B__1.D,structures/ame/5xa4__2__1.B__1.D.cif,1.B,1.B
ame:5xdf__1__1.A__1.C,5xdf__1__1.A__1.C,structures/ame/5xdf__1__1.A__1.C.cif,1.A,1.A
ame:5xe9__1__1.B__1.C,5xe9__1__1.B__1.C,structures/ame/5xe9__1__1.B__1.C.cif,1.B,1.B
ame:5xib__1__1.A__1.C,5xib__1__1.A__1.C,structures/ame/5xib__1__1.A__1.C.cif,1.A,1.A
ame:5xic__2__1.B__1.H,5xic__2__1.B__1.H,structures/ame/5xic__2__1.B__1.H.cif,1.B,1.B
ame:5xie__1__1.A__1.C,5xie__1__1.A__1.C,structures/ame/5xie__1__1.A__1.C.cif,1.A,1.A
ame:5xkb__2__1.B__1.D,5xkb__2__1.B__1.D,structures/ame/5xkb__2__1.B__1.D.cif,1.B,1.B
ame:5xpi__1__1.A__1.B,5xpi__1__1.A__1.B,structures/ame/5xpi__1__1.A__1.B.cif,1.A,1.A
ame:5xsr__1__1.A__1.B,5xsr__1__1.A__1.B,structures/ame/5xsr__1__1.A__1.B.cif,1.A,1.A
ame:5xst__1__1.A__1.B,5xst__1__1.A__1.B,structures/ame/5xst__1__1.A__1.B.cif,1.A,1.A
ame:5xsu__1__1.A__1.K,5xsu__1__1.A__1.K,structures/ame/5xsu__1__1.A__1.K.cif,1.A,1.A
ame:5xzb__1__1.A__1.E,5xzb__1__1.A__1.E,structures/ame/5xzb__1__1.A__1.E.cif,1.A,1.A
ame:5xze__1__1.A__1.E,5xze__1__1.A__1.E,structures/ame/5xze__1__1.A__1.E.cif,1.A,1.A
ame:5xzg__1__1.A__1.E,5xzg__1__1.A__1.E,structures/ame/5xzg__1__1.A__1.E.cif,1.A,1.A
ame:5y41__1__1.A__1.C,5y41__1__1.A__1.C,structures/ame/5y41__1__1.A__1.C.cif,1.A,1.A
ame:5y72__2__1.B__1.D,5y72__2__1.B__1.D,structures/ame/5y72__2__1.B__1.D.cif,1.B,1.B
ame:5y95__1__1.A__1.B,5y95__1__1.A__1.B,structures/ame/5y95__1__1.A__1.B.cif,1.A,1.A
ame:5yb5__1__1.A__1.B,5yb5__1__1.A__1.B,structures/ame/5yb5__1__1.A__1.B.cif,1.A,1.A
ame:5yd6__1__1.A__1.E,5yd6__1__1.A__1.E,structures/ame/5yd6__1__1.A__1.E.cif,1.A,1.A
ame:5ye7__2__1.A__1.C,5ye7__2__1.A__1.C,structures/ame/5ye7__2__1.A__1.C.cif,1.A,1.A
ame:5ye8__1__1.B__1.D,5ye8__1__1.B__1.D,structures/ame/5ye8__1__1.B__1.D.cif,1.B,1.B
ame:5ye9__1__1.A__1.C,5ye9__1__1.A__1.C,structures/ame/5ye9__1__1.A__1.C.cif,1.A,1.A
ame:5yea__1__1.A__1.E,5yea__1__1.A__1.E,structures/ame/5yea__1__1.A__1.E.cif,1.A,1.A
ame:5ymr__2__1.C__1.J,5ymr__2__1.C__1.J,structures/ame/5ymr__2__1.C__1.J.cif,1.C,1.C
ame:5ynu__2__1.B__1.J,5ynu__2__1.B__1.J,structures/ame/5ynu__2__1.B__1.J.cif,1.B,1.B
ame:5ynu__2__1.B__1.K,5ynu__2__1.B__1.K,structures/ame/5ynu__2__1.B__1.K.cif,1.B,1.B
ame:5ynv__2__1.B__1.E,5ynv__2__1.B__1.E,structures/ame/5ynv__2__1.B__1.E.cif,1.B,1.B
ame:5ynw__1__1.A__1.C,5ynw__1__1.A__1.C,structures/ame/5ynw__1__1.A__1.C.cif,1.A,1.A
ame:5yp2__1__1.B__1.F,5yp2__1__1.B__1.F,structures/ame/5yp2__1__1.B__1.F.cif,1.B,1.B
ame:5z36__1__1.A__1.B,5z36__1__1.A__1.B,structures/ame/5z36__1__1.A__1.B.cif,1.A,1.A
ame:5z44__2__1.B__1.E,5z44__2__1.B__1.E,structures/ame/5z44__2__1.B__1.E.cif,1.B,1.B
ame:5z45__1__1.A__1.C,5z45__1__1.A__1.C,structures/ame/5z45__1__1.A__1.C.cif,1.A,1.A
ame:5z4f__1__1.A__1.B,5z4f__1__1.A__1.B,structures/ame/5z4f__1__1.A__1.B.cif,1.A,1.A
ame:5z6b__1__1.A__1.B,5z6b__1__1.A__1.B,structures/ame/5z6b__1__1.A__1.B.cif,1.A,1.A
ame:5zgg__1__1.A_1.B__1.C,5zgg__1__1.A_1.B__1.C,structures/ame/5zgg__1__1.A_1.B__1.C.cif,"1.A,1.B","1.A,1.B"
ame:5zkp__1__1.A__1.B,5zkp__1__1.A__1.B,structures/ame/5zkp__1__1.A__1.B.cif,1.A,1.A
ame:5zkp__1__1.A__1.C,5zkp__1__1.A__1.C,structures/ame/5zkp__1__1.A__1.C.cif,1.A,1.A
ame:5zma__2__1.B__1.E,5zma__2__1.B__1.E,structures/ame/5zma__2__1.B__1.E.cif,1.B,1.B
ame:5zov__1__1.B__1.E,5zov__1__1.B__1.E,structures/ame/5zov__1__1.B__1.E.cif,1.B,1.B
ame:5zyg__1__1.A__1.B,5zyg__1__1.A__1.B,structures/ame/5zyg__1__1.A__1.B.cif,1.A,1.A
ame:5zyh__1__1.A__1.B,5zyh__1__1.A__1.B,structures/ame/5zyh__1__1.A__1.B.cif,1.A,1.A
ame:5zyi__1__1.A__1.B,5zyi__1__1.A__1.B,structures/ame/5zyi__1__1.A__1.B.cif,1.A,1.A
ame:5zyj__1__1.A__1.B,5zyj__1__1.A__1.B,structures/ame/5zyj__1__1.A__1.B.cif,1.A,1.A
ame:5zyk__1__1.A__1.B,5zyk__1__1.A__1.B,structures/ame/5zyk__1__1.A__1.B.cif,1.A,1.A
ame:5zyl__1__1.A__1.B,5zyl__1__1.A__1.B,structures/ame/5zyl__1__1.A__1.B.cif,1.A,1.A
ame:5zym__1__1.A__1.B,5zym__1__1.A__1.B,structures/ame/5zym__1__1.A__1.B.cif,1.A,1.A
ame:6a0q__2__1.B__1.C,6a0q__2__1.B__1.C,structures/ame/6a0q__2__1.B__1.C.cif,1.B,1.B
ame:6a3h__1__1.A__1.B,6a3h__1__1.A__1.B,structures/ame/6a3h__1__1.A__1.B.cif,1.A,1.A
ame:6a40__1__1.A__1.B,6a40__1__1.A__1.B,structures/ame/6a40__1__1.A__1.B.cif,1.A,1.A
ame:6a8h__1__1.A__1.B,6a8h__1__1.A__1.B,structures/ame/6a8h__1__1.A__1.B.cif,1.A,1.A
ame:6adc__2__1.B__1.H,6adc__2__1.B__1.H,structures/ame/6adc__2__1.B__1.H.cif,1.B,1.B
ame:6ae9__1__1.A__1.G,6ae9__1__1.A__1.G,structures/ame/6ae9__1__1.A__1.G.cif,1.A,1.A
ame:6afe__1__1.A_2.A__2.B,6afe__1__1.A_2.A__2.B,structures/ame/6afe__1__1.A_2.A__2.B.cif,"1.A,2.A","1.A,2.A"
ame:6aff__1__2.A__2.C,6aff__1__2.A__2.C,structures/ame/6aff__1__2.A__2.C.cif,2.A,2.A
ame:6afi__1__1.A_2.A__1.B,6afi__1__1.A_2.A__1.B,structures/ame/6afi__1__1.A_2.A__1.B.cif,"1.A,2.A","1.A,2.A"
ame:6afj__1__1.A_2.A__2.B,6afj__1__1.A_2.A__2.B,structures/ame/6afj__1__1.A_2.A__2.B.cif,"1.A,2.A","1.A,2.A"
ame:6aim__1__1.A_1.B__1.C,6aim__1__1.A_1.B__1.C,structures/ame/6aim__1__1.A_1.B__1.C.cif,"1.B,1.A","1.B,1.A"
ame:6aip__1__1.A_1.B__1.C,6aip__1__1.A_1.B__1.C,structures/ame/6aip__1__1.A_1.B__1.C.cif,"1.A,1.B","1.A,1.B"
ame:6ajf__1__1.A__1.B,6ajf__1__1.A__1.B,structures/ame/6ajf__1__1.A__1.B.cif,1.A,1.A
ame:6ajf__1__1.A__1.G,6ajf__1__1.A__1.G,structures/ame/6ajf__1__1.A__1.G.cif,1.A,1.A
ame:6ajg__1__1.A__1.B,6ajg__1__1.A__1.B,structures/ame/6ajg__1__1.A__1.B.cif,1.A,1.A
ame:6ajg__1__1.A__1.L,6ajg__1__1.A__1.L,structures/ame/6ajg__1__1.A__1.L.cif,1.A,1.A
ame:6ajh__1__1.A__1.B,6ajh__1__1.A__1.B,structures/ame/6ajh__1__1.A__1.B.cif,1.A,1.A
ame:6ajh__1__1.A__1.E,6ajh__1__1.A__1.E,structures/ame/6ajh__1__1.A__1.E.cif,1.A,1.A
ame:6ajh__1__1.A__1.I,6ajh__1__1.A__1.I,structures/ame/6ajh__1__1.A__1.I.cif,1.A,1.A
ame:6aji__1__1.A__1.B,6aji__1__1.A__1.B,structures/ame/6aji__1__1.A__1.B.cif,1.A,1.A
ame:6aji__1__1.A__1.G,6aji__1__1.A__1.G,structures/ame/6aji__1__1.A__1.G.cif,1.A,1.A
ame:6ajj__1__1.A__1.C,6ajj__1__1.A__1.C,structures/ame/6ajj__1__1.A__1.C.cif,1.A,1.A
ame:6ajj__1__1.A__1.F,6ajj__1__1.A__1.F,structures/ame/6ajj__1__1.A__1.F.cif,1.A,1.A
ame:6ajj__1__1.A__1.I,6ajj__1__1.A__1.I,structures/ame/6ajj__1__1.A__1.I.cif,1.A,1.A
ame:6al9__1__1.A_1.B__1.C,6al9__1__1.A_1.B__1.C,structures/ame/6al9__1__1.A_1.B__1.C.cif,"1.B,1.A","1.B,1.A"
ame:6am0__1__1.E__1.K,6am0__1__1.E__1.K,structures/ame/6am0__1__1.E__1.K.cif,1.E,1.E
ame:6aox__1__1.A__1.C,6aox__1__1.A__1.C,structures/ame/6aox__1__1.A__1.C.cif,1.A,1.A
ame:6aoy__2__1.B__1.D,6aoy__2__1.B__1.D,structures/ame/6aoy__2__1.B__1.D.cif,1.B,1.B
ame:6arm__2__1.B__1.E,6arm__2__1.B__1.E,structures/ame/6arm__2__1.B__1.E.cif,1.B,1.B
ame:6arn__1__1.A__1.C,6arn__1__1.A__1.C,structures/ame/6arn__1__1.A__1.C.cif,1.A,1.A
ame:6aro__1__1.A__1.C,6aro__1__1.A__1.C,structures/ame/6aro__1__1.A__1.C.cif,1.A,1.A
ame:6as8__2__1.B__1.D,6as8__2__1.B__1.D,structures/ame/6as8__2__1.B__1.D.cif,1.B,1.B
ame:6asc__1__1.A_1.B__1.H,6asc__1__1.A_1.B__1.H,structures/ame/6asc__1__1.A_1.B__1.H.cif,"1.A,1.B","1.A,1.B"
ame:6aum__1__1.A__1.D,6aum__1__1.A__1.D,structures/ame/6aum__1__1.A__1.D.cif,1.A,1.A
ame:6awg__2__1.C_1.D__1.J,6awg__2__1.C_1.D__1.J,structures/ame/6awg__2__1.C_1.D__1.J.cif,"1.C,1.D","1.C,1.D"
ame:6awi__1__1.A_1.B__1.H,6awi__1__1.A_1.B__1.H,structures/ame/6awi__1__1.A_1.B__1.H.cif,"1.A,1.B","1.A,1.B"
ame:6awj__1__1.A_1.B__1.G,6awj__1__1.A_1.B__1.G,structures/ame/6awj__1__1.A_1.B__1.G.cif,"1.A,1.B","1.A,1.B"
ame:6azs__3__1.B_1.C__1.I,6azs__3__1.B_1.C__1.I,structures/ame/6azs__3__1.B_1.C__1.I.cif,"1.C,1.B","1.C,1.B"
ame:6azu__2__1.B__1.G,6azu__2__1.B__1.G,structures/ame/6azu__2__1.B__1.G.cif,1.B,1.B
ame:6azv__3__1.C__1.G,6azv__3__1.C__1.G,structures/ame/6azv__3__1.C__1.G.cif,1.C,1.C
ame:6azw__2__1.B__1.D,6azw__2__1.B__1.D,structures/ame/6azw__2__1.B__1.D.cif,1.B,1.B
ame:6b41__1__1.A__1.B,6b41__1__1.A__1.B,structures/ame/6b41__1__1.A__1.B.cif,1.A,1.A
ame:6b41__1__1.A__1.D,6b41__1__1.A__1.D,structures/ame/6b41__1__1.A__1.D.cif,1.A,1.A
ame:6b88__2__1.B__1.E,6b88__2__1.B__1.E,structures/ame/6b88__2__1.B__1.E.cif,1.B,1.B
ame:6b9i__2__1.B__1.K,6b9i__2__1.B__1.K,structures/ame/6b9i__2__1.B__1.K.cif,1.B,1.B
ame:6bec__1__1.A_1.B_1.C__1.K,6bec__1__1.A_1.B_1.C__1.K,structures/ame/6bec__1__1.A_1.B_1.C__1.K.cif,"1.B,1.C,1.A","1.B,1.C,1.A"
ame:6bge__1__3.B__3.G,6bge__1__3.B__3.G,structures/ame/6bge__1__3.B__3.G.cif,3.B,3.B
ame:6bjo__1__1.B__1.D,6bjo__1__1.B__1.D,structures/ame/6bjo__1__1.B__1.D.cif,1.B,1.B
ame:6bjy__1__1.B_1.C__1.G,6bjy__1__1.B_1.C__1.G,structures/ame/6bjy__1__1.B_1.C__1.G.cif,"1.B,1.C","1.B,1.C"
ame:6boi__1__1.A__1.C,6boi__1__1.A__1.C,structures/ame/6boi__1__1.A__1.C.cif,1.A,1.A
ame:6boz__1__1.A_1.B__1.D,6boz__1__1.A_1.B__1.D,structures/ame/6boz__1__1.A_1.B__1.D.cif,"1.A,1.B","1.A,1.B"
ame:6bpm__2__1.B__1.I,6bpm__2__1.B__1.I,structures/ame/6bpm__2__1.B__1.I.cif,1.B,1.B
ame:6bpn__1__1.A__1.G,6bpn__1__1.A__1.G,structures/ame/6bpn__1__1.A__1.G.cif,1.A,1.A
ame:6bq3__1__1.A__1.C,6bq3__1__1.A__1.C,structures/ame/6bq3__1__1.A__1.C.cif,1.A,1.A
ame:6bq4__1__1.B__1.F,6bq4__1__1.B__1.F,structures/ame/6bq4__1__1.B__1.F.cif,1.B,1.B
ame:6bq6__1__2.B__2.F,6bq6__1__2.B__2.F,structures/ame/6bq6__1__2.B__2.F.cif,2.B,2.B
ame:6bq8__1__1.A__1.B,6bq8__1__1.A__1.B,structures/ame/6bq8__1__1.A__1.B.cif,1.A,1.A
ame:6bt4__1__1.A__1.B,6bt4__1__1.A__1.B,structures/ame/6bt4__1__1.A__1.B.cif,1.A,1.A
ame:6bv8__1__1.A__1.B,6bv8__1__1.A__1.B,structures/ame/6bv8__1__1.A__1.B.cif,1.A,1.A
ame:6bw5__2__1.D__1.K,6bw5__2__1.D__1.K,structures/ame/6bw5__2__1.D__1.K.cif,1.D,1.D
ame:6bw6__2__1.C__1.I,6bw6__2__1.C__1.I,structures/ame/6bw6__2__1.C__1.I.cif,1.C,1.C
ame:6bya__3__1.C__1.I,6bya__3__1.C__1.I,structures/ame/6bya__3__1.C__1.I.cif,1.C,1.C
ame:6byt__1__1.A__1.C,6byt__1__1.A__1.C,structures/ame/6byt__1__1.A__1.C.cif,1.A,1.A
ame:6byx__2__1.B__1.D,6byx__2__1.B__1.D,structures/ame/6byx__2__1.B__1.D.cif,1.B,1.B
ame:6c8c__1__1.A_1.B__1.C,6c8c__1__1.A_1.B__1.C,structures/ame/6c8c__1__1.A_1.B__1.C.cif,"1.A,1.B","1.A,1.B"
ame:6caj__1__1.D_1.E_1.I_1.J__1.K,6caj__1__1.D_1.E_1.I_1.J__1.K,structures/ame/6caj__1__1.D_1.E_1.I_1.J__1.K.cif,"1.D,1.E,1.I,1.J","1.D,1.E,1.I,1.J"
ame:6cax__1__1.A__1.C,6cax__1__1.A__1.C,structures/ame/6cax__1__1.A__1.C.cif,1.A,1.A
ame:6cbm__1__1.A_1.B__1.C,6cbm__1__1.A_1.B__1.C,structures/ame/6cbm__1__1.A_1.B__1.C.cif,"1.A,1.B","1.A,1.B"
ame:6cby__1__1.A__1.F,6cby__1__1.A__1.F,structures/ame/6cby__1__1.A__1.F.cif,1.A,1.A
ame:6cfc__1__1.A__1.B,6cfc__1__1.A__1.B,structures/ame/6cfc__1__1.A__1.B.cif,1.A,1.A
ame:6cmj__1__1.A__1.C,6cmj__1__1.A__1.C,structures/ame/6cmj__1__1.A__1.C.cif,1.A,1.A
ame:6cp5__1__1.F_1.G__1.T,6cp5__1__1.F_1.G__1.T,structures/ame/6cp5__1__1.F_1.G__1.T.cif,"1.F,1.G","1.F,1.G"
ame:6cpt__1__1.A__1.D,6cpt__1__1.A__1.D,structures/ame/6cpt__1__1.A__1.D.cif,1.A,1.A
ame:6ct2__1__1.A__1.B,6ct2__1__1.A__1.B,structures/ame/6ct2__1__1.A__1.B.cif,1.A,1.A
ame:6cul__1__1.A__1.I,6cul__1__1.A__1.I,structures/ame/6cul__1__1.A__1.I.cif,1.A,1.A
ame:6cwf__1__1.A__1.C,6cwf__1__1.A__1.C,structures/ame/6cwf__1__1.A__1.C.cif,1.A,1.A
ame:6cwh__2__1.B__1.F,6cwh__2__1.B__1.F,structures/ame/6cwh__2__1.B__1.F.cif,1.B,1.B
ame:6cwi__1__1.A__1.D,6cwi__1__1.A__1.D,structures/ame/6cwi__1__1.A__1.D.cif,1.A,1.A
